,Ticker,Discount,DistributionRateNAV,DistributionRatePrice,DistributionAmtUSD,ReturnOnNAV,CategoryId,CategoryName,SponsorId,SponsorName,IsManagedDistribution,Price,PriceChange,NAV,NAVPublished,Cusip,Name,LastUpdated,NavTicker,Strategy,LeverageRatioPercentage,MarketCapUSDm,UNIIPerShare,DistributionFrequency,EarningsPerShare,CurrentDistribution,InceptionPrice,AverageCoupon,AMTPercentage,AverageWeightedMaturity,ExpenseRatio,BaselineExpense,TotalAssetsUSDm,IsLeveraged,IsPriceBelow52WkAvg,IsDiscountBelow52WkAvg,IsAMTPct,IsManaged,Term,AvgWtdDurationLevAdj,Yr3RetOnNav,Yr3RetOnPrice,Yr5RetOnNav,Yr5RetOnPrice,YTDRetOnNav,YTDRetOnPrice,SinceInceptionRetOnNav,SinceInceptionRetOnPrice,ReturnOnPrice,AvgDailyVolume,CallableYr1Pct,PrerefundedPercentage,AvgBondPrice,AvgWtdDurationNonLevAdj,EffDurationLevAdj,EffDurationNonLevAdj,Price52WkAvg,Discount52WkAvg,ZScore1Yr,ZScore3M,ZScore6M,ZScoreDate,InceptionDate,InceptionDateString,InceptionDateUnixTimestamp,DistributionDate
10,AOD,-13.98,7.04,8.19,0.0575,13.86,5,Morningstar US CEF Global Equity,1,abrdn Inc.,TRUE,8.43,0.02,9.8,2024-06-18T00:00:00,00326L100,abrdn Total Dynamic Dividend,2024-06-19T00:00:00,XAODX,Equity-Global Equity,4.53,888.783,,Monthly,-0.14805,0.0575,20,,,,1.19,,1082.276,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,,2.44,1.29,9.41,9.63,4.77,5.66,,,13.02,2896580,,,,,,,7.98931,-14.7774,0.94,2.06,2.48,2024-06-19T00:00:00,2007-01-26T00:00:00,1/26/2007,1169769600,2024-05-22T00:00:00
11,ADX,-10.23,0.84,0.93,0.05,29.73,10,Morningstar US CEF US Equity,2,Adams Diversified Equity Fund Inc,FALSE,21.41,0,23.85,2024-06-18T00:00:00,6212104,Adams Diversified Equity Fund,2024-06-19T00:00:00,XADEX,Equity-U.S. Equity,0,2655.947,,Quarterly,0.09431,0.05,10,,,,0.61,,2958.633,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,,9.29,12.23,15.04,16.91,11.83,16.01,,,39.79,1656390,,,,,,,18.03939,-14.11484,3.25,1.64,2.44,2024-06-19T00:00:00,1929-10-01T00:00:00,10/1/1929,-1270252800,2024-05-16T00:00:00
12,PEO,-13.25,1.52,1.75,0.1,25.43,8,Morningstar US CEF Sector Equity,3,Adams Natural Resources Fund Inc,FALSE,22.84,0.11,26.33,2024-06-18T00:00:00,00548F105,Adams Natural Resources Fund,2024-06-19T00:00:00,XPEOX,Equity-Sector Equity,0.7,582.557,,Quarterly,0.33021,0.1,15,,,,0.64,,671.573,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,,21.1,21.79,14.83,16.52,11.68,15.63,,,29.86,405920,,,,,,,21.9901,-15.62429,2.09,1.68,2.38,2024-06-19T00:00:00,1929-01-30T00:00:00,1/30/1929,-1291334400,2024-05-16T00:00:00
13,AVK,-2.99,11.66,12.02,0.1172,13,11,Morningstar US CEF Convertibles,56,Guggenheim Investments Asset Management,FALSE,11.7,-0.19,12.06,2024-06-18T00:00:00,00764C109,Advent Convertible & Income Fund,2024-06-19T00:00:00,XAVKX,Fixed Income - Taxable-Convertibles,45.55,404.747,,Monthly,0.20615,0.1172,25,4.0313,,,5.73,,766.223,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,,-4.42,-3.17,5.68,8.57,0.39,9.99,,,22.3,1106790,,,99.8507,,,,11.31187,-7.09533,1.23,0.2,0.7,2024-06-19T00:00:00,2003-04-29T00:00:00,4/29/2003,1051574400,2024-06-14T00:00:00
14,AWF,-4.6,7.09,7.43,0.0655,14.16,14,Morningstar US CEF High Yield,4,AllianceBernstein L.P.,FALSE,10.58,-0.03,11.09,2024-06-18T00:00:00,01879R106,AllianceBernstein Global High Income,2024-06-19T00:00:00,XAWFX,Fixed Income - Taxable-High Yield,1.3,912.31,,Monthly,0.39081,0.0655,15,6.6963,,5.92,1.05,,968.852,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,,2.17,3.71,3.89,6.21,2.26,8.91,,,20.21,1820390,,,93.2106,,,,10.08614,-6.9996,1.49,0.44,0.96,2024-06-19T00:00:00,1993-07-28T00:00:00,7/28/1993,743817600,2024-05-02T00:00:00
15,AFB,-12.04,3.11,3.53,0.03266,2.94,21,Morningstar US CEF Municipal,4,AllianceBernstein L.P.,FALSE,11.1,0.01,12.62,2024-06-18T00:00:00,01864U106,AllianceBernstein National Mun Inc,2024-06-19T00:00:00,XAFBX,Fixed Income - Municipal-Municipal,39.01,319.069,,Monthly,0.1916,0.03266,15,4.8334,11.52,11.04,3.8,,594.739,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,-4.46,-6.61,-0.5,0.01,-3.37,0.59,,,7.45,730550,,2.46,101.0049,,14.58,8.91,10.48082,-14.16921,1.7,1.16,1.63,2024-06-19T00:00:00,2002-01-28T00:00:00,1/28/2002,1012176000,2024-05-02T00:00:00
16,NFJ,-13.2,7.99,9.21,0.28,13.84,3,Morningstar US CEF Covered Call,101,"Virtus Investment Advisers, Inc.",TRUE,12.16,0.01,14.01,2024-06-18T00:00:00,92840R101,AllianzGI Div Interest & Prem Common,2024-06-19T00:00:00,XNFJX,Equity-Covered-Call Funds,,1152.787,0,Quarterly,0.10333,0.28,25,,,,0.96,,1328.17,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,,2.71,2.01,8.41,8.65,0.13,-0.57,,,14.84,2022410,,,,,,,12.07504,-14.55259,1.47,1.93,1.35,2024-06-19T00:00:00,2005-02-28T00:00:00,2/28/2005,1109548800,2024-06-13T00:00:00
17,EOD,-13.95,7.96,9.26,0.1113,29.2,5,Morningstar US CEF Global Equity,5,Allspring Global Investments,FALSE,4.81,0,5.59,2024-06-18T00:00:00,94987C103,Allspring Global Dividend Opp Fd,2024-06-19T00:00:00,XEODX,Equity-Global Equity,16.42,208.001,,Quarterly,0.07469,0.1113,20,6.7965,,,2.98,,289.231,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,6.25,4.04,9.32,8.81,13,13.47,,,29.18,1102230,,,,,,,4.39384,-13.04534,-0.51,0.06,-0.02,2024-06-19T00:00:00,2007-03-28T00:00:00,3/28/2007,1175040000,2024-06-13T00:00:00
18,EAD,-8.29,8.61,9.39,0.05197,12.12,14,Morningstar US CEF High Yield,5,Allspring Global Investments,FALSE,6.64,0.02,7.24,2024-06-18T00:00:00,94987B105,Allspring Inc Opp,2024-06-19T00:00:00,XEADX,Fixed Income - Taxable-High Yield,30.54,394.204,,Monthly,0.22505,0.05197,15,6.8041,,,2.74,,618.825,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,,0.53,-0.38,4.32,5.71,1.51,4.47,,,16.53,1980520,,,95.9586,,4.9,3.38,6.40897,-10.43399,1.41,1.55,1.17,2024-06-19T00:00:00,2003-02-28T00:00:00,2/28/2003,1046390400,2024-06-13T00:00:00
19,ERC,-9.27,7.99,8.81,0.06572,11.14,16,Morningstar US CEF Limited Duration,5,Allspring Global Investments,FALSE,8.955,0,9.87,2024-06-18T00:00:00,94987D101,Allspring Multi-Sec Inc,2024-06-19T00:00:00,XERCX,Fixed Income - Taxable-Limited Duration,30.05,251.334,,Monthly,0.34315,0.06572,20,6.6057,0,4.7,3.4,,396.014,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,,0.05,-2.49,3.15,3.09,0.77,-0.81,,,11.39,644920,,,95.3555,,,,9.24465,-6.43403,-1.43,-0.47,-1.12,2024-06-19T00:00:00,2003-06-25T00:00:00,6/25/2003,1056499200,2024-06-13T00:00:00
20,ERH,-12.66,6.7,7.67,0.06197,13.6,26,Morningstar US CEF US Allocation,5,Allspring Global Investments,FALSE,9.695,-0.05,11.1,2024-06-18T00:00:00,9.50E+113,Allspring Util & High In,2024-06-19T00:00:00,XERHX,Hybrid-U.S. Allocation,22.73,89.095,,Monthly,0.19261,0.06197,20,6.8173,,,2.45,,132.007,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,3.78,-3.7,5.84,2.96,12.26,12.53,,,9.37,255920,,,96.0117,,4.44,3.38,9.35638,-12.08121,-0.24,0.43,0.4,2024-06-19T00:00:00,2004-04-30T00:00:00,4/30/2004,1083283200,2024-06-13T00:00:00
21,FINS,-11.57,9.52,10.77,0.109,10.3,26,Morningstar US CEF US Allocation,8,Angel Oak,FALSE,12.15,-0.04,13.74,2024-06-18T00:00:00,03464A100,Angel Oak Financial Strats Income Term,2024-06-19T00:00:00,XFINX,Hybrid-U.S. Allocation,28.8,304.511,,Monthly,0.35205,0.109,20,5.836,,,3.92,,483.648,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,,-2.34,-3.77,0.08,-1.26,4.87,9.44,,,18.07,546290,,,93.0872,,5.07,,12.11165,-11.70243,0.08,-3.45,-0.66,2024-06-19T00:00:00,2019-05-29T00:00:00,5/29/2019,1559088000,2024-06-14T00:00:00
22,AFT,-2.2,11.2,11.45,0.14,15,19,Morningstar US CEF Senior Loans,9,"Apollo Credit Management, LLC",FALSE,14.67,-0.25,14.9994,2024-06-18T00:00:00,37636107,Apollo Senior Floating Rate Fund,2024-06-19T00:00:00,XAFTX,Fixed Income - Taxable-Senior Loans,35.74,228.464,,Monthly,0.81222,0.14,20,7.5899,,,5.99,,363.495,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,,5.14,8.05,5.26,8.69,3.97,16.41,,,33.18,875460,,,,,,,13.64906,-9.15794,1.68,0.63,1.1,2024-06-19T00:00:00,2011-02-23T00:00:00,2/23/2011,1298419200,2024-05-22T00:00:00
23,AIF,0.24,11.62,11.59,0.144,16.72,14,Morningstar US CEF High Yield,9,"Apollo Credit Management, LLC",FALSE,14.91,-0.08,14.8739,2024-06-18T00:00:00,37638103,Apollo Tactical Income Fund Inc.,2024-06-19T00:00:00,XAIFX,Fixed Income - Taxable-High Yield,35.98,215.714,,Monthly,0.83279,0.144,20,7.8774,,,6.17,,336.14,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,,5.12,8.7,5.7,9.42,4.89,9.7,,,35.25,1156180,,,81.9729,,,,13.74446,-6.68838,1.42,1.38,1.06,2024-06-19T00:00:00,2013-02-25T00:00:00,2/25/2013,1361750400,2024-05-22T00:00:00
24,ARDC,-0.68,9.53,9.59,0.1175,19.09,19,Morningstar US CEF Senior Loans,10,Ares Capital Corp,FALSE,14.7,-0.02,14.8,2024-06-18T00:00:00,04014F102,Ares Dynamic Credit Allocation Fund,2024-06-19T00:00:00,XADCX,Fixed Income - Taxable-Senior Loans,32.42,336.851,,Monthly,0.78935,0.1175,20,7.8443,,,5,,501.843,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,,4.73,6.95,5.44,8.96,5.62,10.14,,,36.96,969870,,,,,40.42,,13.29773,-7.124,1.92,1.26,1.68,2024-06-19T00:00:00,2012-11-27T00:00:00,11/27/2012,1353974400,2024-05-20T00:00:00
25,BANX,-14.43,8.27,9.67,0.45,12.91,8,Morningstar US CEF Sector Equity,11,"ArrowMark Asset Management, LLC",FALSE,18.62,0.62,21.76,2024-05-31T00:00:00,861780104,ArrowMark Financial Corp,2024-06-19T00:00:00,XBANX,Equity-Sector Equity,22.53,132.434,,Quarterly,1.39126,0.45,25,14.1578,,,6.67,,199.767,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,,8.8,3.46,7.8,3.32,3.71,1.76,,,22.57,157410,,,101.2946,,,,17.73367,-17.24876,0.74,-0.3,-0.33,2024-06-19T00:00:00,2013-11-07T00:00:00,11/7/2013,1383782400,2024-03-20T00:00:00
26,ASA,-14.08,0.2,0.23,0.02,18.1,8,Morningstar US CEF Sector Equity,12,ASA,FALSE,17.27,0,20.1,2024-06-19T00:00:00,G3156P103,ASA Gold and Precious Metals Limited,2024-06-19T00:00:00,XASAX,Equity-Sector Equity,,333.137,,Semi-Annually,-0.01869,0.02,28,8,,,1,,387.727,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,-9.08,-8.76,12.63,13.33,20.51,22.25,,,17.13,632720,,,,,,,15.21009,-14.24801,0.1,0.06,0.12,2024-06-19T00:00:00,1958-09-23T00:00:00,9/23/1958,-355795200,2024-05-03T00:00:00
27,BCV,-14.45,7.17,8.38,0.32,1.94,11,Morningstar US CEF Convertibles,54,Gabelli Funds LLC,FALSE,15.27,-0.12,17.85,2024-06-18T00:00:00,59695106,Bancroft Fund,2024-06-19T00:00:00,XBCVX,Fixed Income - Taxable-Convertibles,22.12,89.661,,Quarterly,0.13616,0.32,25,1.8062,,,1.59,,134.583,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,-8.77,-12.53,3.69,3.88,0.42,0.02,,,4.23,195740,,,,,21.12,,15.81335,-14.75064,0.27,0.66,0.66,2024-06-19T00:00:00,1971-10-04T00:00:00,10/4/1971,55382400,2024-06-12T00:00:00
28,MCI,10.62,9.52,8.61,0.39,8.35,14,Morningstar US CEF High Yield,13,Barings LLC,FALSE,18.12,-0.01,16.77,2023-12-29T00:00:00,06759X107,Barings Corporate Investors,2024-06-19T00:00:00,XMCIX,Fixed Income - Taxable-High Yield,11.29,367.811,,Quarterly,0.84821,0.39,25,7.782,,,1.65,,374.804,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,,9.5,13.72,9.28,10.75,0,-3.77,,,33.82,403070,,,92.3472,,,,16.90215,1.14737,1.23,1.36,0.98,2024-06-19T00:00:00,1971-09-01T00:00:00,9/1/1971,52531200,2024-05-30T00:00:00
29,BGH,-9.13,7.97,8.78,0.1056,20.59,14,Morningstar US CEF High Yield,13,Barings LLC,FALSE,14.44,0.04,15.89,2024-06-18T00:00:00,06760L100,Barings Global Short Duration High Yield,2024-06-19T00:00:00,XBGHX,Fixed Income - Taxable-High Yield,25.56,289.729,,Monthly,0.70211,0.1056,25,8.8787,,,3.95,,428.322,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,,4.69,4.25,5.42,5.43,6.85,9.62,,,24.09,630860,,,97.4777,,,,13.53305,-10.36633,0.83,0.63,0.51,2024-06-19T00:00:00,2012-10-25T00:00:00,10/25/2012,1351123200,2024-06-20T00:00:00
30,MPV,8.04,9.57,8.86,0.36,8.49,14,Morningstar US CEF High Yield,13,Barings LLC,FALSE,16.26,1.08,15.41,2023-12-29T00:00:00,06761A103,Barings Participation Invs,2024-06-19T00:00:00,XMPVX,Fixed Income - Taxable-High Yield,11.89,172.721,,Quarterly,0.7852,0.36,10,7.7819,,,1.56,,181.441,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,,9.75,12.19,9.67,6.57,0,0.61,,,36.56,220060,,,92.2129,,,,14.58996,-4.93999,1.82,2.3,2.49,2024-06-19T00:00:00,1988-10-06T00:00:00,10/6/1988,592099200,2024-05-30T00:00:00
31,BXSY,-36.96,5.06,8.03,0.25,31.64,26,Morningstar US CEF US Allocation,14,Bexil Corp,TRUE,12.45,0,19.75,2024-06-18T00:00:00,25538A204,Bexil Investment Trust,2024-06-19T00:00:00,XBXIX,Hybrid-U.S. Allocation,8.88,159.601,,Quarterly,0.03656,0.25,15,8.159,,,2.13,,277.846,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,,6.75,5.67,14.37,13.12,8.17,10.85,,,34.13,223290,,,,,2.7,,11.79851,-35.70793,-0.72,0.1,-0.24,2024-06-19T00:00:00,1998-06-29T00:00:00,6/29/1998,899078400,2024-06-17T00:00:00
32,BMN,-6.06,4.32,4.59,0.09375,5.23,21,Morningstar US CEF Municipal,15,BlackRock,FALSE,24.49,0.11,26.07,2024-06-18T00:00:00,09262G108,BlackRock 2037 Municipal Target term,2024-06-19T00:00:00,XBMNX,Fixed Income - Municipal-Municipal,7.15,150.556,,Monthly,0.52392,0.09375,25,,,,0.72,,172.604,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,,,,,,-0.16,4.1,,,1.78,273500,13.55,,102.5812,,6.61,6.12,23.95415,-6.35658,0.16,0.23,0.87,2024-06-19T00:00:00,2022-10-28T00:00:00,10/28/2022,1666915200,2024-06-14T00:00:00
33,BFZ,-7,5.51,5.92,0.059,3.25,22,Morningstar US CEF Municipal-CA,15,BlackRock,FALSE,11.95,-0.05,12.85,2024-06-18T00:00:00,9.25E+105,BlackRock CA Municipal Income,2024-06-19T00:00:00,XBFZX,Fixed Income - Municipal-Municipal - CA,34.83,359.261,0.002,Monthly,0.20462,0.059,15,4.6519,,,2.95,,592.758,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,,-4.07,-3.74,0.11,1.48,-2.19,-1.88,,,4.82,724100,3.54,,103.5556,,12.42,,11.42234,-10.38421,1.78,1.59,2.11,2024-06-19T00:00:00,2001-07-27T00:00:00,7/27/2001,996192000,2024-06-14T00:00:00
34,BCAT,-8.69,19.45,21.3,0.28539,13.93,26,Morningstar US CEF US Allocation,15,BlackRock,TRUE,16.08,0,17.61,2024-06-18T00:00:00,09260U109,BlackRock Capital Allocation Term Trust,2024-06-19T00:00:00,XCATX,Hybrid-U.S. Allocation,5.18,1727.986,,Monthly,0.25042,0.28539,20,,,,1.39,,1892.403,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,0.58,0.14,,,6.36,15.07,,,23.67,3126450,,,,,,,15.24672,-11.34565,1.31,0.04,0.7,2024-06-19T00:00:00,2020-09-28T00:00:00,9/28/2020,1601251200,2024-06-14T00:00:00
35,BHK,1.13,8.41,8.31,0.0746,4.04,15,Morningstar US CEF Investment Grade,15,BlackRock,TRUE,10.77,0.03,10.65,2024-06-18T00:00:00,9.25E+104,BlackRock Core Bond,2024-06-19T00:00:00,XBHKX,Fixed Income - Taxable-Investment Grade,33.73,581.695,-0.051,Monthly,0.28706,0.0746,15,5.56,,,3.69,,868.022,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,,-5.91,-5.82,-0.03,1.97,-1.69,1.13,,,9.56,1676490,,,94.5567,,6.66,,10.43101,-1.15522,1.38,0.91,1.13,2024-06-19T00:00:00,2001-11-30T00:00:00,11/30/2001,1007078400,2024-06-14T00:00:00
36,HYT,0.63,9.76,9.7,0.0779,14.31,14,Morningstar US CEF High Yield,15,BlackRock,TRUE,9.64,-0.09,9.58,2024-06-18T00:00:00,09255P107,BlackRock Corporate High Yield Fund,2024-06-19T00:00:00,XHYTX,Fixed Income - Taxable-High Yield,30.36,1375.627,-0.113,Monthly,0.35334,0.0779,15,7.2604,,,3.35,,1963.093,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,,1.39,2.28,5.25,8.56,2.53,7.12,,,25.44,4582490,,,98.1291,,,,9.24443,-2.27106,0.97,-0.69,0.22,2024-06-19T00:00:00,2003-05-30T00:00:00,5/30/2003,1054252800,2024-06-14T00:00:00
37,BTZ,-6.18,8.89,9.48,0.0839,9.99,15,Morningstar US CEF Investment Grade,15,BlackRock,TRUE,10.62,0,11.32,2024-06-18T00:00:00,92508100,BlackRock Credit Allocation Income Trust,2024-06-19T00:00:00,XBTZX,Fixed Income - Taxable-Investment Grade,35.87,991.106,-0.119,Monthly,0.33741,0.0839,25,,,,3.97,,1647.292,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,,-2.19,-2.93,2.93,4.79,0.63,6.76,,,13.06,2799140,,,97.1253,,,,10.24817,-8.41829,1.11,0.9,0.47,2024-06-19T00:00:00,2006-12-27T00:00:00,12/27/2006,1167177600,2024-06-14T00:00:00
